Name;Notes;ID;Class Type;Class Tier;Weakness;Flag;Usable Weapons;Max Weapons;Internal Level;Base HP;Base Str;Base Mag;Base Dex;Base Spd;Base Lck;Base Def;Base Res;Base Bld;Base Vision;Base Mov;HP Cap;Str Cap;Mag Cap;Dex Cap;Spd Cap;Lck Cap;Def Cap;Res Cap;Bld Cap;Vision Cap;Mov Cap;HP Growth;Str Growth;Mag Growth;Dex Growth;Spd Growth;Lck Growth;Def Growth;Res Growth;Bld Growth;Promotion 1;Promotion 2;Promotes from;Level 5 Skill;Skill Description;Maddening Skill;Skill Description;Class Description
Great Fell Dragon;;MJID_ShadowDragon;Dragon;Special;Fell Dragon;NPC;Special;Special S;0;30;10;10;10;2;8;10;10;10;3;0;100;45;45;40;40;40;45;45;30;20;20;;;;;;;;;;---;---;---;Dark Spirit;Inflicts -1 to the engage meters of foes within 2 spaces at the start of the turn.;---;---;The Fell Dragon wielding the power of the Emblem Rings. Capable now of opening a gate to another world.
Noble;Alfred;MJID_AvenirLC;Cavalry;Base;Cavalry;Exclusive;Lance;Lance B;0;24;7;2;6;5;4;6;4;6;3;5;71;45;20;33;35;45;37;21;16;20;20;15;15;;5;5;15;20;5;;Avenir;---;---;---;---;---;---;One born into a noble royal family. A proficient horseman and skilled lancer.
Avenir;;MJID_Avenir;Cavalry;Advanced;Cavalry;Exclusive;Sword, Lance;Sword B, Lance A;20;25;8;4;7;6;6;8;6;7;3;6;71;45;20;33;35;45;37;21;16;20;20;15;15;;5;10;20;25;5;5;---;---;Noble;Golden Lotus;During combat, may prevent 50% of physical damage taken. Trigger %=Dex.;---;---;A dashing prince who rides a white horse into battle. Excels with a lance and serviceable with a blade.
Noble;Celine;MJID_FleurageLC;Mystical;Base;---;Exclusive;Sword, Tome;Sword B, Tome B;0;20;5;8;5;8;4;3;5;4;3;4;56;38;37;29;41;50;27;35;11;20;20;;5;10;5;5;20;5;10;;Vidame;---;---;---;---;---;---;One born into a noble royal family. A proficient magic user who is also serviceable with a sword.
Vidame;;MJID_Fleurage;Mystical;Advanced;---;Exclusive;Sword, Tome, Staff;Sword B, Tome A, Staff B;20;21;6;9;6;9;5;4;6;5;3;5;56;38;37;29;41;50;27;35;11;20;20;5;10;15;5;5;20;5;15;;---;---;Noble;Ignis;During combat, may add half of Str to magic damage or half of Mag to all other damage. Trigger %=Dex.;---;---;Magic-wielding swordswoman who can cut through enemy mages. She is also capable of wielding staves.
Lord;Diamant;MJID_SuccesseurLC;Backup;Base;---;Exclusive;Sword;Sword B;0;23;8;1;7;8;3;5;3;7;3;4;77;43;23;23;38;25;38;20;20;20;20;15;20;;10;10;5;10;;;Successeur;---;---;---;---;---;---;One born into a family that leads a nation. Proficient with a sword.
Successeur;;MJID_Successeur;Backup;Advanced;---;Exclusive;Sword, Axe;Sword S, Axe A;20;25;10;2;8;9;4;6;3;8;3;5;77;43;23;23;38;25;38;20;20;20;20;15;20;;10;15;10;15;;5;---;---;Lord;Sol;Unit may recover HP=50% damage dealt. Trigger %=Dex.;---;---;One with the will and strength to lead a nation. Skilled with both the blade and the axe.
Lord;Alcryst;MJID_TirailleurLC;Covert;Base;---;Exclusive;Bow;Bow B;0;21;7;1;10;7;2;4;3;5;3;4;68;41;20;41;40;30;29;19;15;20;20;10;10;;25;10;5;10;;;Tireur d'élite;---;---;---;---;---;---;One born into a family that leads a nation. Proficient with a bow.
Tireur d'élite;;MJID_Tirailleur;Covert;Advanced;---;Exclusive;Bow;Bow S;20;22;8;1;12;8;4;6;4;6;3;5;68;41;20;41;40;30;29;19;15;20;20;10;10;;30;10;5;15;5;;---;---;Lord;Luna;While making an attack, may ignore half of foe's Def/Res. Trigger %=Dex.;---;---;An archer gifted with incredible aim. Each shot can eliminate a foe.
Wing Tamer;Ivy;MJID_LindwurmLC;Flying;Base;Flying, Dragon;Exclusive;Tome, Staff;Tome B, Staff B;0;20;1;8;4;4;1;6;8;5;3;5;60;31;40;25;34;20;31;40;15;20;20;5;;20;;;;10;20;;Lindwurm;---;---;---;---;---;---;A knight who has a rapport with beasts. Rides a wyvern into battle and uses magic and staves.
Lindwurm;;MJID_Lindwurm;Flying;Advanced;Flying, Dragon;Exclusive;Tome, Staff;Tome S, Staff B;20;22;2;10;5;5;1;8;9;6;3;6;60;31;40;25;34;20;31;40;15;20;20;5;;25;5;;;15;25;;---;---;Wing Tamer;Grasping Void;When attacking with a tome, unit may deal extra damage = half of foe's Mag. Trigger %=Dex.;---;---;A magic-using wyvern rider who destroys enemies from above. Can use powerful magic and staves.
Wing Tamer;Hortensia;MJID_SleipnirLC;Flying;Base;Flying;Exclusive;Tome, Staff;Tome B, Staff B;0;18;0;5;9;8;6;1;11;4;3;5;47;26;39;36;45;53;19;51;11;20;20;;;15;10;10;10;;25;;Sleipnir Rider;---;---;---;---;---;---;A knight who has a rapport with beasts. Rides a pegasus into battle and is skilled with tome and staff.
Sleipnir Rider;;MJID_Sleipnir;Flying;Advanced;Flying;Exclusive;Tome, Staff;Tome B, Staff S;20;18;1;7;10;10;8;2;13;5;3;6;47;26;39;36;45;53;19;51;11;20;20;;;20;15;15;15;;30;;---;---;Wing Tamer;World Tree;When unit uses a staff, may not consume a use. Trigger %=Dex.;---;---;A knight who rides the charming pegasus Sleipnir. Uses powerful staves and is skilled with tomes.
Sentinel;Timerra;MJID_PitchforkLC;Backup;Base;---;Exclusive;Lance;Lance B;0;24;8;1;5;7;3;8;1;4;3;4;63;35;27;47;41;37;33;26;12;20;20;10;10;;10;5;5;20;;;Picket;---;---;---;---;---;---;A Sentinel who takes up arms to defend her nation. Proficient with the lance.
Picket;;MJID_Pitchfork;Backup;Advanced;---;Exclusive;Lance;Lance S;20;25;9;2;6;9;4;10;3;5;3;5;63;35;27;47;41;37;33;26;12;20;20;10;15;;10;10;5;20;5;5;---;---;Sentinel;Sandstorm;While making a physical attack, may calculate damage with 150% of Def instead of Str. Trigger %=Dex.;---;---;A lancer who pierces the enemy lines with flawless skill. Her bouncy steps presage deadly attacks.
Sentinel;Fogado;MJID_CupidoLC;Cavalry;Base;Cavalry;Exclusive;Bow;Bow B;0;21;5;1;9;7;2;4;3;6;3;5;67;35;28;33;49;33;28;31;16;20;20;10;5;;15;15;;5;15;;Cupido;---;---;---;---;---;---;A Sentinel who takes up arms to defend his nation. A proficient rider and archer.
Cupido;;MJID_Cupido;Cavalry;Advanced;Cavalry;Exclusive;Sword, Bow;Sword B, Bow A;20;23;6;3;10;8;3;5;5;7;3;6;67;35;28;33;49;33;28;31;16;20;20;10;5;5;20;20;;5;20;;---;---;Sentinel;Back at You;When countering, unit may deal extra damage = half of damage taken. Trigger %=Dex.;---;---;A charming bow knight who fights with casual flair. Skilled with both bow and sword, he toys with his foe.
Melusine;Zephia;MJID_Melusine;Flying;Special;Flying, Dragon;NPC;Sword, Tome;Sword S, Tome A;0;22;7;8;6;8;2;6;9;6;3;6;75;40;39;33;35;27;33;36;12;20;20;10;10;10;10;15;;10;10;5;---;---;---;Soulblade;When attacking with a sword, damage is calculated using average of foe's Def and Res.;---;---;An alluring magic knight who rides an evil dragon. Overpowers with highly honed magic and sword skills.
Sword Fighter;;MJID_SwordFighter;Backup;Base;---;Playable;Sword;Sword B;0;20;5;0;7;8;2;3;2;5;3;4;67;40;20;37;41;33;27;22;12;20;20;10;10;;15;20;10;;15;;Swordmaster;Hero;---;---;---;---;---;Footsoldiers who take pride in their skill with a blade. They avoid enemy attacks with nimble footwork.
Swordmaster;;MJID_SwordMaster;Backup;Advanced;---;Playable;Sword;Sword S;20;21;6;1;9;11;4;4;3;6;3;5;67;40;25;44;49;37;27;26;12;20;20;10;10;;15;20;15;;15;;---;---;Sword Fighter;Run Through;Use to attack an adjacent foe, then move to the space opposite that foe.;Death Blow;When unit initiates combat, grants Crit+20 during combat.;Master sword fighters who avoid attacks by a hair's breadth and retaliate with mighty skills.
Hero;;MJID_BraveHero;Backup;Advanced;---;Playable;Sword, Lance (Secondary), Axe (Secondary);Sword A, Lance C+, Axe C+;20;23;8;0;8;9;3;5;2;7;3;5;75;45;20;37;41;33;34;22;16;20;20;15;15;;10;15;15;;10;;---;---;Sword Fighter;Brave Assist;If unit's HP is at max while unit makes a chain attack, unit attacks twice.;Triangle Adept;When unit has weapon advantage, always follows up. When unit has disadvantage, foe always follows up.;Accomplished veterans proficient in several weapons and can easily cut through the front lines.
Lance Fighter;;MJID_LanceFighter;Backup;Base;---;Playable;Lance;Lance B;0;23;7;2;8;6;2;4;2;5;3;4;69;43;29;47;36;25;28;25;12;20;20;10;10;5;20;5;;10;5;;Halberdier;Royal Knight;---;---;---;---;---;Soldiers who fight with a lance. They strike just the right balance between offense and defense.
Halberdier;;MJID_Halberdier;Backup;Advanced;---;Playable;Lance;Lance S;20;24;9;1;9;7;3;6;2;6;3;5;76;46;29;47;36;25;35;25;15;20;20;10;15;5;20;10;5;15;5;;---;---;Lance Fighter;Pincer Attack;If unit initiates combat while an ally is on the opposite side of the foe, always follow up (if weapon allows).;Seal Speed;If unit initiates combat, inflicts Spd-6 on foe after combat. (Penalty shrinks by 1 each turn.);Lance-wielders with a great deal of battlefield experience. Several cuts above common lance fighters.
Royal Knight;;MJID_RoyalKnight;Cavalry;Advanced;Cavalry;Playable;Lance, Staff;Lance A, Staff C+;20;23;7;5;9;8;5;5;4;6;3;6;69;43;39;47;40;32;28;36;12;20;20;5;10;15;15;15;10;5;20;;---;---;Lance Fighter;Reforge;If unit's HP is 11 or more and an adjacent ally is broken after combat, sacrifices 10 HP and removes the break status from that ally.;Darting Stance;If foe initiates combat, grants Spd+6 during combat.;Noble knights who tear across the battlefield on horseback, rallying their allies. They can also use staves.
Axe Fighter;;MJID_AxFighter;Backup;Base;---;Playable;Axe;Axe B;0;26;9;0;5;5;1;3;1;7;3;4;94;46;17;23;29;23;20;11;20;20;20;25;20;;5;10;;5;;5;Berserker;Warrior;---;---;---;---;---;Proven warriors with an axe. Their swings are fierce, but leave them open to retaliation.
Berserker;;MJID_Berserker;Backup;Advanced;---;Playable;Axe;Axe S;20;29;13;0;6;6;2;3;2;9;3;5;96;49;17;23;29;23;20;11;24;20;20;30;30;;5;10;;5;;10;---;---;Axe Fighter;Smash+;When making a smash attack, push the target 2 spaces instead of 1.;Cornered Beast;If unit's HP is 50% or less at start of combat, grants Crit+30 during combat.;Mighty warriors of unparalleled strength. They cleave foes in twain with huge axes.
Warrior;;MJID_Warrior;Backup;Advanced;---;Playable;Axe, Bow;Axe A, Bow C+;20;27;12;1;7;7;2;4;3;8;3;5;94;46;20;30;33;23;27;18;20;20;20;25;20;;10;15;;10;5;5;---;---;Axe Fighter;Merciless;Unit deals +50% damage against broken foes.;Fierce Stance;If foe initiates combat, grants Str+6 during combat.;Skilled experts in annihilating their enemies. They are capable with bows as well as axes.
Archer;;MJID_Archer;Covert;Base;---;Playable;Bow;Bow B;0;19;6;0;9;5;2;2;1;4;3;4;68;38;20;45;32;28;23;24;14;20;20;10;15;;25;10;5;5;;;Sniper;Bow Knight;---;---;---;---;---;Light infantry who fight with a bow. They can attack from a distance.
Sniper;;MJID_Sniper;Covert;Advanced;---;Playable;Bow;Bow S;20;22;8;1;11;6;3;3;1;5;3;5;68;45;20;52;32;28;29;24;14;20;20;15;15;;30;10;10;10;;;---;---;Archer;No Distractions;Grants Crit+10 during combat with a foe that can't counter.;Seal Defense;If unit initiates combat, inflicts Def-6 on foe after combat. (Penalty shrinks by 1 each turn.);Masters of the bow who target their foes' weak points with precision strikes.
Bow Knight;;MJID_BowKnight;Cavalry;Advanced;Cavalry;Playable;Sword (Secondary), Lance (Secondary), Axe (Secondary), Bow;Sword C+, Lance C+, Axe C+, Bow A;20;22;7;2;10;8;3;3;3;5;3;6;68;38;23;45;37;30;23;29;14;20;20;10;10;;20;20;15;;15;;---;---;Archer;Careful Aim;If unit initiates combat without moving first, grants Hit+40 during combat.;Seal Strength;If unit initiates combat, inflicts Str-6 on foe after combat. (Penalty shrinks by 1 each turn.);Bow users that fire from the saddle and outflank foes with high mobility.
Sword Armor;;MJID_SwordArmor;Armor;Base;Armor;Playable;Sword;Sword B;0;25;8;0;6;1;2;12;0;7;3;4;75;42;16;39;17;25;51;16;20;20;20;20;15;;10;;;30;;5;General;Great Knight;---;---;---;---;---;Heavily armored sword fighters clad in tough armor. They have high defense, but magic is their bane.
Lance Armor;;MJID_LanceArmor;Armor;Base;Armor;Playable;Lance;Lance B;0;25;8;0;6;1;2;12;0;7;3;4;75;42;16;39;17;25;51;16;20;20;20;20;15;;10;;;30;;5;General;Great Knight;---;---;---;---;---;Heavily armored lancers clad in tough armor. They have high defense, but magic is their bane.
Axe Armor;;MJID_AxArmor;Armor;Base;Armor;Playable;Axe;Axe B;0;25;8;0;6;1;2;12;0;7;3;4;75;42;16;39;17;25;51;16;20;20;20;20;15;;10;;;30;;5;General;Great Knight;---;---;---;---;---;Heavily armored axe-wielders clad in tough armor. They have high defense, but magic is their bane.
General;;MJID_General;Armor;Advanced;Armor;Playable;Sword (Secondary), Lance (Secondary), Axe (Secondary);Sword A+, Lance A+, Axe A+;20;28;11;1;7;2;3;14;1;10;3;4;86;47;16;39;17;25;55;16;25;20;20;25;20;;10;;;30;;10;---;---;#N/A;Swap;Use to switch places with an adjacent ally.;Steady Stance;If foe initiates combat, grants Def+6 during combat.;Heavily armored fighters boasting both an impenetrable defense and a fearsome offense.
Great Knight;;MJID_GreatKnight;Cavalry;Advanced;Cavalry, Armor;Playable;Sword (Tertiary), Lance (Tertiary), Axe (Tertiary);Sword B+, Lance B+, Axe B+;20;26;9;2;8;5;3;13;2;8;3;6;75;42;19;43;25;30;51;22;20;20;20;20;15;;15;;5;25;10;5;---;---;#N/A;Allied Defense;If unit is between an ally and a foe, reduces damage to unit by 3 during combat with that foe.;Warding Stance;If foe initiates combat, grants Res+6 during combat.;Heavily armored knights clad in thick armor. They defend their allies with a variety of weapons.
Sword Cavalier;;MJID_SwordKnight;Cavalry;Base;Cavalry;Playable;Sword;Sword B;0;23;6;1;8;7;2;4;2;6;3;5;69;40;21;41;37;30;27;29;12;20;20;10;10;;10;10;10;10;10;;Paladin;Wolf Knight;---;---;---;---;---;Sword-wielding knights who ride freely about the battlefield. They strike a good balance of skills.
Lance Cavalier;;MJID_LanceKnight;Cavalry;Base;Cavalry;Playable;Lance;Lance B;0;23;6;1;8;7;2;4;2;6;3;5;69;40;21;41;37;30;27;29;12;20;20;10;10;;10;10;10;10;10;;Paladin;Wolf Knight;---;---;---;---;---;Lance-wielding knights who ride freely about the battlefield. They strike a good balance of skills.
Axe Cavalier;;MJID_AxKnight;Cavalry;Base;Cavalry;Playable;Axe;Axe B;0;23;6;1;8;7;2;4;2;6;3;5;69;40;21;41;37;30;27;29;12;20;20;10;10;;10;10;10;10;10;;Paladin;Wolf Knight;---;---;---;---;---;Axe-wielding knights who ride freely about the battlefield. They strike a good balance of skills.
Paladin;;MJID_Paladin;Cavalry;Advanced;Cavalry;Playable;Sword (Secondary), Lance (Secondary), Axe (Secondary);Sword A+, Lance A+, Axe A+;20;25;8;2;10;8;3;6;3;7;3;6;77;45;21;45;37;30;35;29;16;20;20;15;15;;10;15;10;15;15;;---;---;#N/A;Pivot;Use to move to the opposite side of an adjacent ally.;Swordbreaker;If unit's HP is 50% or higher at start of combat and foe has a sword equipped, unit can follow up and foe cannot follow up.;High-ranking knights with a wealth of experience. Highly mobile and strong against magic.
Wolf Knight;;MJID_WolfKnight;Cavalry;Advanced;Cavalry;Playable;Sword (Secondary), Lance (Secondary), Axe (Secondary), Dagger;Sword B+, Lance B+, Axe B+, Dagger A+;20;23;6;3;9;10;4;4;4;6;3;6;69;40;26;41;45;34;27;33;12;20;20;10;5;;15;20;20;5;20;;---;---;#N/A;Hobble;If unit initiates combat with a knife, inflicts Mov-2 on foe for 1 turn.;Poison Strike;If unit initiates combat, deals damage to foe equal to 20% of their max HP after combat.;Knights who dart over the battlefield mounted on wolves. Their knife strikes are the ruin of enemy camps.
Mage;;MJID_Mage;Mystical;Base;---;Playable;Tome;Tome B;0;18;1;7;6;6;2;1;7;4;3;4;43;26;40;28;30;24;20;40;11;20;20;;;25;5;;5;;25;;Sage;Mage Knight;---;---;---;---;---;Magic users who cast spells from tomes. Strong against enemies with high defense.
Sage;;MJID_Sage;Mystical;Advanced;---;Playable;Tome, Staff;Tome S, Staff B+;20;20;1;9;8;7;3;3;9;5;3;5;43;26;48;34;30;30;20;44;11;20;20;;;30;5;;15;;30;;---;---;Mage;Spell Harmony;If unit initiates combat with a tome, grants Atk equal to the number of adjacent allies with tomes.;Seal Resistance;If unit initiates combat, inflicts Res-6 on foe after combat. (Penalty shrinks by 1 each turn.);Experienced mages who can call upon great power. Capable of using both tomes and staves.
Mage Knight;;MJID_MageKnight;Cavalry;Advanced;Cavalry;Playable;Sword (Secondary), Lance (Secondary), Axe (Secondary), Tome;Sword B+, Lance B+, Axe B+, Tome A;20;21;5;7;8;9;2;3;8;6;3;6;47;35;40;28;32;24;26;40;12;20;20;5;5;25;;5;5;10;25;;---;---;Mage;Chaos Style;If unit initiates combat with a physical attack against a foe armed with magic or vice versa, grants Spd+3 during combat.;Seal Magic;If unit initiates combat, inflicts Mag-6 on foe after combat. (Penalty shrinks by 1 each turn.);Magic knights who cast spells from horseback, but can also take part in melee combat.
Martial Monk;;MJID_Monk;Qi Adept;Base;---;Playable;Staff, Arts;Staff B, Arts C;0;18;3;5;6;5;3;3;8;3;3;4;55;28;41;26;28;29;20;39;13;20;20;;10;25;;;10;10;20;;Martial Master;High Priest;---;---;---;---;---;Combat monks who use staves to heal wounded allies. They are versed in the martial arts of self-defense.
Martial Master;;MJID_MasterMonk;Qi Adept;Advanced;---;Playable;Staff, Arts;Staff A, Arts S;20;22;6;5;6;5;4;4;7;6;3;5;66;38;41;26;28;29;27;39;15;20;20;5;10;20;;;10;15;25;;---;---;Martial Monk;Diffuse Healer;When unit is healed by a staff, all adjacent allies also recover 50% of the HP that the unit recovered.;Self-Destruct;If unit's HP is 50% or less at the start of player phase, unit dies and deals 50% of its max HP to foes within 2 spaces.;Experienced monks trained in the martial arts. They excel at hand-to- hand combat as well as healing.
High Priest;;MJID_HighPriest;Mystical;Advanced;---;Playable;Tome, Staff, Arts;Tome B+, Staff S, Arts C+;20;20;3;8;8;6;5;3;10;4;3;5;55;28;45;31;32;38;20;48;13;20;20;;;25;;5;30;;30;;---;---;Martial Monk;Self-Healing;Unit can target itself with healing staves.;Warding Blow;When unit initiates combat, unit takes 20 less magical damage during combat.;Masters of staves with wisdom from experience. Their healing powers are lifesaving in battle.
Sword Flier;;MJID_SwordPegasus;Flying;Base;Flying;Female-only;Sword;Sword B;0;21;5;2;7;9;3;3;7;4;3;5;68;40;31;43;38;25;27;22;14;20;20;5;10;5;10;10;10;;10;;Griffin Knight;Wyvern Knight;---;---;---;---;---;Sword fighters who soar through the sky on their pegasus mounts. Strong against magic, but weak to bows.
Lance Flier;;MJID_LancePegasus;Flying;Base;Flying;Female-only;Lance;Lance B;0;21;5;2;7;9;3;3;7;4;3;5;68;40;31;43;38;25;27;22;14;20;20;5;10;5;10;10;10;;10;;Griffin Knight;Wyvern Knight;---;---;---;---;---;Lance users who soar through the sky on their pegasus mounts. Strong against magic, but weak to bows.
Axe Flier;;MJID_AxPegasus;Flying;Base;Flying;Female-only;Axe;Axe B;0;21;5;2;7;9;3;3;7;4;3;5;68;40;31;43;38;25;27;22;14;20;20;5;10;5;10;10;10;;10;;Griffin Knight;Wyvern Knight;---;---;---;---;---;Axe-wielders who soar through the sky on their pegasus mounts. Strong against magic, but weak to bows.
Griffin Knight;;MJID_GriffonKnight;Flying;Advanced;Flying;Playable;Sword (Secondary), Lance (Secondary), Axe (Secondary), Staff;Sword A+, Lance A+, Axe A+, Staff C+;20;22;7;3;10;11;5;4;9;5;3;6;68;40;37;48;49;35;27;35;14;20;20;;10;15;15;20;15;;15;;---;---;#N/A;Clear the Way;Unit's space and adjacent spaces have a movement cost of 1 for allies.;Darting Blow;When unit initiates combat, grants Spd+5 during combat.;Experienced knights who fly through the skies on a griffin. They are well- balanced and can use staves.
Wyvern Knight;;MJID_DragonKnight;Flying;Advanced;Flying, Dragon;Playable;Sword (Tertiary), Lance (Tertiary), Axe (Tertiary);Sword B+, Lance B+, Axe B+;20;25;9;1;8;9;3;6;5;6;3;6;83;46;31;43;38;25;35;22;18;20;20;20;20;;10;5;5;20;5;5;---;---;#N/A;Air Raid;If unit initiates combat from a space a foe cannot enter, grants Spd+5 during combat.;Certain Blow;When unit initiates combat, grants Hit+40 during combat.;Experienced knights who fly through the skies on wyverns. Though powerful, they fear bows and magic.
Thief;;MJID_Thief;Covert;Special;---;Playable;Dagger;Dagger S;0;22;5;0;10;10;2;6;2;4;5;5;60;43;22;51;42;30;33;23;13;20;20;5;10;;20;15;15;15;5;;---;---;---;Pass;Foes do not block this unit's movement.;Savage Blow;If unit initiates combat, deals damage to foes within 2 spaces equal to 20% of their max HP after combat.;Burglars with a talent for picking locks. They are nimble with their hands and deadly with a knife.
Dancer;;MJID_Dancer;Qi Adept;Special;---;Exclusive;Arts;Arts A;0;21;5;1;8;8;5;2;5;5;3;5;64;36;31;29;43;39;24;26;15;20;20;5;10;;5;15;20;10;20;;---;---;---;Special Dance;If unit uses Dance, grants Dex/Spd/Lck+3 to target for 1 turn.;---;---;Charming performers who can raise an ally's spirits, allowing the ally to act once more in battle.
Barbarian;;MJID_Barbarian;Backup;Special;---;NPC;Axe;Axe A;0;26;9;0;0;5;0;2;0;9;3;4;85;46;15;30;26;16;23;15;21;20;20;;;;;;;;;;---;---;---;---;---;Life and Death;Unit deals +10 damage and takes +10 damage during combat.;Fierce fighters with an insatiable rage. They possess great strength and speed, but little defense.
Corrupted Wyrm;;MJID_MorphDragon;Dragon;Special;Fell Dragon, Corrupted;NPC;Special;Special S;0;30;0;7;0;0;0;9;9;10;3;2;74;0;42;24;6;19;36;36;28;20;20;;;;;;;;;;---;---;---;---;---;Spirit Strike;When unit hits with an attack, inflicts -5 to foe's engage meter.;Minions of the Fell Dragon who aim to bring the world to ruin. Their dark breath destroys all.
Phantom Wyrm;;MJID_PhantomDragon;Dragon;Special;Dragon;NPC;Special;Special S;0;30;0;7;0;0;0;9;9;10;3;2;74;0;42;24;6;19;36;36;28;20;20;;;;;;;;;;---;---;---;---;---;Spirit Strike;When unit hits with an attack, inflicts -5 to foe's engage meter.;Enormous draconic minions. Though they are slow, their breath can affect faraway enemies.
Villager;;MJID_Villager;none;Special;---;NPC;None;;0;18;1;0;6;5;3;2;2;4;3;4;45;20;15;30;33;30;25;25;12;20;20;;;;;;;;;;---;---;---;---;---;---;---;An ordinary person with no combat training.
Emblem;Marth;MJID_Emblem;Backup;Special;---;NPC;Sword;Sword S;0;23;5;2;10;11;3;4;3;6;3;5;64;40;21;48;46;33;31;33;15;20;20;;;;;;;;;;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in rings. They possess unimaginable power.
Emblem;Sigurd;MJID_Emblem;Cavalry;Special;Cavalry;NPC;Sword, Lance;Sword S, Lance S;0;25;8;4;6;7;5;7;4;7;3;6;72;45;25;36;34;40;42;39;19;20;20;;;;;;;;;;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in rings. They possess unimaginable power.
Emblem;Celica;MJID_Emblem;Mystical;Special;---;NPC;Sword, Tome, Staff;Sword S, Tome S, Staff S;0;22;6;9;4;5;2;4;8;5;3;5;63;42;53;31;32;29;28;49;14;20;20;;;;;;;;;;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in rings. They possess unimaginable power.
